,date,company,title,full description,link
0,2021-04-23 10:37:49.891888,DHL Express,Financial Reporting Analyst,"Would you like to become part of the most international company in the world? Would you like to work for a company where people mean the world to us? Our goal has always been to attract and retain the best talent the world over. We provide challenge and opportunity for personal and professional development. We recognise the difference that You bring to our business and together we share the pride of being part of the company that has been leading the way in international express shipment since 1969.
Financial Analyst (Permanent)
We are pleased to announce that an exciting opportunity exists for Financial Analyst within DHL Express Ireland. This is a permanent role which is based in the Swords, Dublin office. The salary range is €40,000 - €45,000 plus benefits including bonus, contribution to health insurance and company pension, free onsite parking and a mix of hybrid working from the office and at home.
Job Purpose
The role of Financial Analyst is to ensure high quality/ cost effective managerial reporting in accordance with accounting principles and all relevant corporate policies.
The main duties of the role will be:
Timely and accurately processing of Monthly financial closing
To create and maintain first class financial reporting in adherence to group policies
Monitoring and analysis of results and key figures at terminal and product level with Budget and year-on-year comparison
Manage and monitor the ongoing and future financial performance of the business to ensure management can optimise decision making.
Balance Sheet review coordination
Preparation of Budgets, Forecasts and Monthly Forecasts
Ensure adherence to DPDHL accounting standards, business compliance, policies and procedures are adopted and complied with by all departments
Internal and external audits
Internal controls & ensure monthly reporting of internal controls to region.
Build solid relationships with both external and internal customers to foster collaboration, networking & best practice.
Manage multiple stakeholders - Internal - Shared Service Centres, External – PWC
Assist with AP queries, Concur & GET
Adopt and deliver the Finance strategy
Projects
Ad hoc analysis
What you bring?
2 years’ experience in Financial Reporting Essential
Recognized Accountancy Qualification - Diploma, Degree, Accounting Technician
Influence business decision by demonstrating a detailed understanding of the business
Excellent communication skills at all levels across the business and with external stakeholders
Excel advanced essential
Commercial & financial experience
Financial Auditing
SAP knowledge is an advantage
Team player, communicative person with can do attitude, time flexibility.",https://ie.indeed.com/viewjob?jk=891139c15c3e58f1
1,2021-04-23 10:37:50.285522,PokerStars,Analytic & Insights Analyst,"The role: Analytic & Insights Analyst
We are looking for a Lead Analytic & Insights Analyst to come be part of our ever growing & dynamic Marketing Effectiveness team in our Dublin office.
Are you our next star player?
This role reports into the Department Head of Marketing Effectiveness, serving as a senior member of the team who will relish ownership opportunities to work closely with the operational marketing teams to deliver insight and deliver the ‘why’ analysis.
Why we need you:
Your role will include:
Work with the Head of Department and team lead to deliver reporting & marketing efficiency measurement to the business
Application of data to areas such as A/B testing and return on investment analysis
Extracting and analysing very large and multi-dimensional data sets
Supporting the marketing evaluation team with access to and provision of data and analysis
Supporting the modelling team with data & insights as required, including data auditing, sense checking model outputs, providing business context, developing new analysis and visualisations to support the modelling efforts
Work with agency partners & internal partners to ensure that company standard is followed with regards request for & delivery of data and reporting on media asset delivery to enable analysis
Who we’re looking for:
Ideally have a Degree qualification in a quantitative (STEM) field with experience with SQL/Oracle, Excel, PPT and PowerBI (or equivalent data viz tool) It's an advantage to have exposure with data analysis application e.g. R, python, SAS, etc. a bonus. Knowledge of the online Poker / Casino / Sportsbook industries would be an asset.
Your experience:
Previous marketing analytics experiences are an advantage and working with media agencies
Will need technical & data literacy within a commercial environment
Have a love for BOTH data analytics and data science
Have an outstanding desire to build value from data and information
Ability to measure marketing and understand what drives business performance. Experience working with linear through to digital channels
Have experience of delivering MMM programs and marketing effectiveness measurement. Data modelling is an advantage.
Your behaviours:
Resilience: Resilient and confident under pressure, comfortable in dealing with ambiguity and running multiple simultaneous projects
Quality obsessed: gets it right first time and has an outstanding attention to detail
Partner management and influencing skills: comfortable operating at pace to a high standard, despite requiring the involvement of multiple partners across multiple countries to deliver results. Actively builds a network of effective relationships across Flutter. Can get things done both through formal channels and informal networks
Fast learner: Learns quickly when facing new situations. Experiments to find and craft new solutions. Pursue the challenge of unfamiliar tasks and extracts lessons learned from failures or mistakes
Comfortable both in detail and in stepping back to consider long term strategy
What’s in it for you?
Our experience-based salaries are competitive. Plus, there’s a discretionary annual performance bonus. And we provide advice and dedicated assistance to those moving to Dublin.
Your package will include:
health and dental insurance for you, your partner and your children (if you all live at the same address)
a personal interest allowance to let you learn something new or pursue a hobby
the option to join our company pension scheme
looking to extend your family? You will receive a cash gift of 1,000 EUR for your new addition whilst working for us
in-house training and development to develop your skills, progressing your career
free fresh fruit, snacks and drinks in the office
access to an onsite gym.
What happens next?
We will aim to get back to you as soon as possible. If you meet the criteria, we’ll contact you to arrange a Zoom interview.
The Group
PokerStars is part of Flutter Entertainment Plc, a global sports betting, gaming and entertainment provider headquartered in Dublin and part of FTSE 100 index of the London Stock Exchange, which brings together exceptional brands, products and businesses and a diverse global presence in a safe, responsible and ultimately sustainable way.
We are an equal opportunity employer that values diversity. We do not discriminate on any protected characteristic as defined by applicable law.
We will look to provide reasonable accommodation for applicants with disabilities to participate in the job application or interview process. If you need assistance, please contact: talent@starsgroup.com.
Please note we cannot accept general applications; this inbox is just for providing support to those who need it.",https://ie.indeed.com/viewjob?jk=fb74d8d310bee01b
2,2021-04-23 10:37:50.615440,Aptiv,Graduate Systems Analyst (Data Privacy) – 12 Month Fixed Term Contract,"Aptiv Privacy Office are seeking a Graduate Systems Analyst to join their growing team on a 12 month fixed term contract to support Functional Development and Lifecycle Management in their Privacy Risk Management system (OneTrust).
Under the guidance of the Director of Global Data Privacy, you will ensure continued technical development to support change in Data Privacy processes. You will be provided with an excellent opportunity to develop Subject Matter Expertise in OneTrust, and skills and knowledge in Privacy Risk Management tooling and operations.
Your Role
Engage with the Privacy Office team to build a Development program, based upon business requirements and priorities.
Investigate OneTrust functionality, liaise with OneTrust Support and Training, and recommend solutions to satisfy business requirements, balancing customisations with OooB Product Development and Enhancements.
Facilitate support Process Design workshops with key stakeholders.
Manage and implement change to schedule, to include:
Design/build/test/go-live of development/configuration according to business requirements.
User Access Security Configuration and Management.
Manage OneTrust Reporting suite, requests, development and distribution.
Manage OneTrust Communications Management functionality and configuration.
Undertake data analysis, data mapping, batch uploads and data cleansing, data quality monitoring and improvement.
Trouble-shoot queries and issues and liaise with users/Privacy Office/OneTrust to resolve as appropriate.
Engage with internal and external stakeholders as requested, in support of Privacy Office team.
Your Background
Recent graduate within the field of Information Technology and Systems or Data Management and Analytics.
Experience and/or training in IT Systems and Data Management.
Critical and creative problem-solving, supported by team meetings and workshops, delivering actions and solutions.
Strong communications in English, both written and verbal; engaging with the Privacy Office team, and other internal teams and external teams.
Aptiv Rewards & Advantages
Competitive compensation package including; Healthcare, Pension & TaxSaver schemes.
Learning, professional growth and development in a world recognized international environment.
Access to internal & external training, coaching & certifications.
Recognition for innovation and excellence.
Opportunities to give back to the community.
Meaningful work that makes a difference in the world
Some see differences. We see perspectives that make us stronger.
Diversity and Inclusion are sources of innovation and creativity, both of which are essential to Aptiv’s success. Everyday our diverse team comes together, drives innovation, pursues solutions, and meets challenges using their unique abilities, perspectives and talents, changing what tomorrow brings. When you join our team, you’ll get encouraged to think boldly, express your viewpoint and innovate as a matter of habit.
Some See Technology. We See a Way to Make Connections.
At Aptiv, we don’t just see the world differently; we work to change reality. That means developing technology that rewrites the rules of what’s possible in the pursuit of making transportation safer, greener and more connected. Today there are more than 180,000 of us globally, located in 44 countries, and united by one mission. Join the movement and together, let’s change tomorrow.
Privacy Notice - Active Candidates: https://www.aptiv.com/privacy-notice-active-candidates
Aptiv is an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, gender identity, sexual orientation, disability status, protected veteran status or any other characteristic protected by law.",https://ie.indeed.com/viewjob?jk=48f82cdbce1d9941
3,2021-04-23 10:37:50.992347,AMZN Pymnts Europe S.C.A.(LUX),Data/Business Analyst,"
Bachelor’s Degree in Math, Statistics, Computer Science or related field
Industry experience as a Business/Data Analyst or related specialty (e.g. Software Engineer, Data Engineer) with extensive professional experience and a proven track record in a role focused on understanding, manipulating, processing and extracting value from large datasets.
Proven experience in relational database concepts with an expert knowledge of SQL.
Demonstrated analytical skills with passions on working with structural data sets

Amazon strives to be the world’s most customer-centric company, where customers can research and purchase anything they might want online. We set big goals and are looking for people who can help us reach and exceed them. Amazon Payments allows millions of Amazon customers to pay for purchases on Amazon and on third party sites. We are looking for a Business Analyst (BA) to support the Amazon Risk and Compliance Services (RCS) team, where we create strong programs to help keep our transaction services safe. The BA will retrieve and analyze large amounts of data based on legal government requests, or internal customers' requests.

The ideal candidate must be passionate about data-driven decision making, uncompromisingly detail oriented, smart, efficient, and driven to help the RCS organization achieve its goals. They will be an individual contributor who is comfortable with ambiguity and able to successfully drive business intelligence projects to completion. This role is on a team with Data Scientists, Data Engineers and Business Analysts and works closely with the Financial Crimes Compliance teams, investigative specialists, and Product teams to drive highly effective machine learning and monitoring solutions in the compliance space.

But that’s not all – you should also have very strong business and communication skills and be able to work closely with global stakeholders to define key business questions and build data sets that answer them.

Our BAs are expected to have a detailed understanding of our business and never lose sight of the broader problems that we are trying to solve. We need actionable insights, along with reports. We want someone who can distill knowledge from data that will help us decide what to build and how it should work. Above all, you should be passionate about using data – lots and lots of data – to solve problems and improve the way we serve our customers. You should be curious about what’s happening in the industry and hungry to learn more, and you should leverage that interest to provide guidance and support for other engineers based on marketplace best practices.


Ability to take a project from scoping requirements through actual launch of the project
Experience in communicating with users, other software teams, and management to collect requirements, describe software/data product features, and technical designs.
Experience influencing software engineering best practices within your team
Background in BigData, Machine Learning and Data Mining is a plus
Meets/exceeds Amazon’s leadership principles requirements for this role
Meets/exceeds Amazon’s functional/technical depth and complexity for this role

Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age",https://ie.indeed.com/viewjob?jk=9df646e0e9b538bf
4,2021-04-23 10:37:51.320391,eDesk,Digital Marketing Analyst,"Digital Marketing AnalystWe are looking for a Digital Marketing Analyst to work within our Marketing Operations team. The successful candidate will be responsible for defining and implementing measurement strategies that align with marketing and business objectives; producing meaningful marketing KPI dashboards and delivering monthly, cross channel performance reports with actionable insight.The role will also involve coordinating ongoing conversion optimisation projects, with the aim of improving efficiency in the team’s digital marketing strategies and increasing ROI.The successful candidate will not necessarily come from a pure web analytics background but an in-depth knowledge of digital marketing, along with experience in strategic and analytical management of digital campaigns is essential.Main responsibilitiesCampaign strategy: Identifying campaign objectives and advising on suitable measurement strategiesBenchmarking performance across all online channels and advising on KPIsUsing methodical performance analysis to influence/support campaign strategiesReporting and Analysis: Developing custom marketing dashboard conceptsReporting on key metrics, analysing and interpreting trends and providing actionable insights based on available analytics dataAnalysing the effect of different online and offline channels on each other and developing and implementing innovative strategies for improvement and growthAnalysing online user behaviour, conversion data and customer journeys, funnel analysis and multi-channel attributionPerforming ROI analysis to evaluate efficiency and effectiveness of different marketing campaignsManaging ad-hoc analytics and conversion optimisation projects and influencing conversion optimisation strategies with solid analytical dataAnalytical and Technical: Ensure consistency in campaign taggingManage the implementation of any additional on-site tracking requiredSpotting potential to implement innovative new methodologies and improve analytical procedureUsing available data sources to deep dive and troubleshoot campaign (and overall) performance issues and propose methodical optimisation tests, both on-site and campaign basedCommunication: Working closely with other teams to identify and explore new business opportunities based on data insightsCollaborating with the design and development teams for on and off-site conversion optimisation projectsCollaborating with all internal teams to enhance reporting and performance measurement and conduct detailed analysis work when requiredKey skills and Experience: Experience in working within a marketing/business intelligence environmentHigh level of experience working with analytical software (e.g. Google Analytics, HubSpot Reports, Tableau, SQL, etc)High level of experience in data analysis techniques and advanced ExcelHigh level of experience working with Google Adwords and other paid search platformsExperience in identifying and validating strategic and tactical marketing objectivesHigh level of experience in measuring and analysing online marketing campaigns including: natural and paid search, email, affiliate, display and socialExperience in working with website optimisation tools for A/B and multivariate testing, e.g. Google Optimize, Optimizely, etcKey behaviours: Enthusiastic and self-motivated, with the ability to lead projects proactivelyMeticulous attention to detail, with an overall passion for continual improvementInnovative and creative, with a logical and methodical approach to problem solvingCredible and articulate, with excellent communication, presentation and interpersonal skillsAbility to relay analytical insight to internal and external stakeholders with various levels of analytical and digital knowledge and at all levels of seniorityJob Types: Full-time, PermanentSalary: €45,000.00-€50,000.00 per yearBenefits:Company eventsCompany pensionGym membershipPrivate medical insuranceWellness programWork from homeSchedule:Monday to FridayWork remotely:YesCOVID-19 precaution(s):Remote interview processVirtual meetings",https://ie.indeed.com/viewjob?jk=555512ae9debc558
5,2021-04-23 10:37:51.648440,Adobe,Order Management Analyst (Japanese Speaking),"Our Company


Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.


We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

The Opportunity
Order Management serves as a core business partner within the finance organisation focused on the analysis of data from several sources and the development of scalable solutions to ensure accurate booking and reporting of revenue. We provide world-class support to our customers through collaboration across the organization. Our team promotes a dynamic culture, fostering personal growth and career development.
What you’ll do
Understand multiple go-to market models supporting Digital Marketing solution offerings – on-demand subscription, licensing (perpetual and term), maintenance and support, managed services and professional services.
Utilize multiple complex systems and processes to lead enterprise deal pipeline, contracts, provisioning and record revenue – SalesForce, SAP (ECC, Convergent Charging/Mediation, Consolidated invoicing).
Interpret and validate an enterprise “deal” (using contracts, purchase order and approval documentation) to ensure accurate recording of revenue (booking, provisioning, invoicing).
Book and record revenue from fully executed contracts/deals using manual and semi-automated processes into the systems mentioned above.
Actively review sales pipeline and corresponding deal information to anticipate potential booking issues or negative customer experience impact, and work to resolve during the deal negotiation process.
Conduct weekly reconciliations and other oversight activity to ensure accurate revenue booking/recording using SQL, Excel and Tableau reports.
Engage with various business partners by resolving issues raised by customers related to the Order Management process.
Partner with the department’s cross-geo/organizational teams focused on data management, innovation, integration (acquisitions), and enablement, to find opportunities to drive efficiencies through streamlining processes and system improvements.
Work cross-functionally with multiple internal Adobe Departments (Deal Desk, Revenue Assurance, Credit, Legal, Customer Success Management, Sales, Product Delivery (Provisioning), Professional Services, Tax, Sales Finance etc.), Enterprise Customers, and Partners.
Support increased workload and additional hours when required i.e month/quarter end.
What's needed to succeed
Fluent business Englishd business Japanese (written and spoken)
You are meticulous, committed, adaptable, inquisitive, creative, respectful, collaborative and confident.
Excellent numeracy skills, including intermediate or better familiarity with Microsoft Excel.
Competence with information management tools - SAP (ECC, CC), salesforce, Sharepoint, or similar analytical and information management applications.
Demonstrable ‘critical thinking’: i.e. ability to analyze complex deal issues, make decisions and problem solve self-sufficiently, without requiring ongoing direction setting.
Excellent interpersonal and customer oriented communication skills.
Experience in a role demonstrating excellent time management, able to analyze workload and prioritize time based on changing priorities.
Highly desirable skills:
Bachelor’s degree or equivalent in a numerate or business field
Minimum 2 years Order Management (or similar) experience in this sector
Knowledge of revenue recognition rules/requirements related to software/services
Familiarity with Sequel, Alteryx and/or SalesForce reporting.
A proven ability to build strong, trust based relationships with business partners across the organization
Good knowledge of operational quote to cash business processes
Exposure to contract negotiation/drafting, including Legal and Financial Governance",https://ie.indeed.com/viewjob?jk=baf13384deb26b78
6,2021-04-23 10:37:52.054593,Allen Recruitment Consulting,Sales Operations Analyst,"Sales Operations Analyst

Based in Dublin, our client is renowned for their continuing advancements in online technologies that have changed the world. An ambitious, fast paced forward thinking company with very creative culture.

Our client is currently conducting all interviews online and are onboarding all new workers remotely.

They require a Sales Operations Analyst with 4+ years of experience in data analysis. Joining on an 11-month contract, the successful candidate will support revenue reporting and insights for sales leadership as well as operational and strategic programs in the region.

Job Reference: BBBH 19414

What will a Sales Operations Analyst do?
Contribute to preparation of regular Rhythm of Business activities including revenue reporting and qualitative insights/analysis to provide context around KPIs and revenue metrics for senior sales and leadership team
Routinely provide ad hoc revenue analysis (revenue performance, product adoption, market trends, etc.) that will be used to support leadership business decisions and make clear recommendations based on analysis to senior leadership team to drive discussions with sales on areas for investment or improvement.
Support ad hoc data requests and identify opportunities for reporting, analytical or operational efficiencies across the region
Contribute to forecasting initiatives to accurately forecast our business at an EMEA level, using multiple data sources to accurately predict future sales performance
Work with large data sets & complex infrastructure
Work within the wider Business Planning & Operations team to support global or regional operational and strategic projects

What does the Ideal Candidate look like?
5+ years of experience in business analysis
Experience in sales/business operations or consulting
Analytics and data skillset is a must have
Proficiency in Tableau and familiarity with big data
Experience in SQL would be a bonus

Benefits?

Competitive Salary.
Work Laptop, phone (most roles) and latest tools and technologies.
25 days annual leave (pro-rata) plus paid bank holidays.
Expanding workforce with options for permanent positions and career progress ion for top performers.
The experience of working with a company that will make your CV stand out from the crowd.

Still interested in this opportunity?
Submit your CV (in a Microsoft Word format) today!

OR

Perhaps this role didn’t fully fit your criteria, not to worry – we have many similar roles advertised on our website – www.allenrec.com
Please don’t hesitate to contact any of our team with any questions you may have on Email: or Phone: +353 1 6694040",https://ie.indeed.com/viewjob?jk=5097e2d4f54c1110
7,2021-04-23 10:37:52.443582,Computer Futures,System Specialist/Business Analyst,"A Systems Specialist/Business Analyst is required for an initial 6 month contract based in Ireland. The candidate must be based in Ireland.

Purpose of the Job
System Administrator for standalone Laboratory systems in both QC and R&D Laboratories.Ensure compliance with Data Integrity requirements for all Laboratory Systems.Assist Laboratory Services Group with implementation of new equipment/upgrade or replacement of existing equipment in accordance with agreed timelines.

Key Skills
2 years + experience of working with the Standalone Laboratory Equipment/SystemsExcellent knowledge of QC laboratory practices in a quality control environment.Very Strong hands-on technical skills, operational background and working experience with infrastructure technologies and business applications.
Excellent understanding of database systems such as Oracle.
Experienced in providing solutions aligned with standards, security, validation, capacity, high availability and identifying associated risks.

Rate - 350 - 370 Euros Per Day
Location - Ireland
Contract Length - 6 Months

Please let me know if interested as I can share more details. Please respond with your CV.
Please click here to find out more about our Key Information Documents. Please note that the documents provided contain generic information. If we are successful in finding you an assignment, you will receive a Key Information Document which will be specific to the vendor set-up you have chosen and your placement.

To find out more about Computer Futures please visit www.computerfutures.com

Computer Futures, a trading division of SThree Partnership LLP is acting as an Employment Business in relation to this vacancy | Registered office | 1st Floor, 75 King William Street, London, EC4N 7BE, United Kingdom | Partnership Number | OC387148 England and Wales",https://ie.indeed.com/viewjob?jk=a8e8d001e47d8892
8,2021-04-23 10:37:52.818507,Intercontinental Exchange,Data Analyst,"The primary purpose of this position is to research, analyze, interpret, transform and present reference data for fixed income securities as well as reference data pertaining to those issuers themselves that bring fixed income debt to market. The focus of this position is to perform this work with documents in English.

The incumbent must successfully complete a three month training program that centers on building enough subject matter expertise and the utilization of the database(s) of record such that the incumbent can independently analyze legal and financial documents associated with securities containing less complex fixed income structures. During training, the incumbent must master all of the subject matter and will be required to pass a series of quizzes and tests as well achieve the accuracy and timeliness metrics that were established for trainees.
The training curriculum for the Data Analyst contains high level overviews of the complex structures worked on by more senior personnel as well as reference data client use cases so that the incumbent can differentiate between legal and financial language that is relevant to and required by our client base versus jargon describing information that is not required and, so that the incumbent can identify new financing techniques that come to market. The incumbent must then apply this foundation of knowledge via a logical sequence of decision making events to determine relevancy of said information to our clients for any of their use cases and if deemed relevant, determine the appropriate next steps to ensure high client satisfaction levels.
The fixed income market consists of over two million active securities and the reference data provided by ICE Data Services for said securities is used by our clients to make trading decisions, settle trades, make investment decisions, manage portfolios, analyze risk, create security master files, create client statements and conduct other back office functions. Our reference data is also used by internal stakeholders such as the Evaluated Pricing, Index and Analytics groups said reference data plays an integral role in determining evaluated prices, determining whether or not a security should be added to or deleted from an index or indices, the weighted average of a security within an index and, performing a series of analytical calculations that are used both internally within ICE and externally by these stakeholder’s clientele.

DUTIES AND RESPONSIBILITIES

Analyze, interpret, collate and transform reference data provided in a variety legal and financial documents, third party reports and vendor information while ensuring that the reference data provided in ICE’s products and services accurate, comprehensive and in a timely manner, namely best in class
Make sound, subjective decisions when interpreting legal and financial information by utilizing subject matter expertise to infer, deduce and ultimately draw the right conclusions
Provide customer support for users of ICE products by resolving inquiries in a timely manner
Craft external facing responses for those clients that submitted customer inquiries containing a meaningful, well-thought out, well-constructed answer that includes a restatement of the challenge or question, the analysis completed to satisfy the request and where appropriate, the methodology used to determine the solution
Procure required documents and/or trusted content utilizing creative internet searches and by conducting direct outreach to issuers, underwriters, fiduciary agents and bond counsel
Apply problem-solving skills to identify innovative work-flow efficiencies and process improvements resulting in increased accuracy levels, time to market and productivity
Help identify trends and causation of inaccurate and/or incomplete data
Participate in ad hoc projects to optimize processes and/or improve the quality of the data set.
Create charts, graphs and presentations for leadership teams
Use excel functions to organize, analyze and create reference data

PERSON SPECIFICATION

Business Level English
BA/BS in Finance, Economics or equivalent practical experience
Demonstrated, relevant work experience directly working in fixed income reference data operations or customer service
Ability to work in a fast paced, high pressured, fluid environment
Ability to distill large amounts of information into specific takeaways
Excellent attention to detail and high degree of demonstrated decision-making and problem solving skills
Excellent written and oral communication skills with proven ability to craft client-ready correspondences
Eagerness to learn and collaborate with others
Strong excel skills required",https://ie.indeed.com/viewjob?jk=7a50ee88483f11fe
9,2021-04-23 10:37:53.193447,eShopWorld,Business Analyst,"The Opportunity

We are going through a period of rapid growth and the finance team is recruiting and expanding their team to meet these demands and scale for future growth. As part of a large-scale transformation programme, we are looking for an experienced and highly motivated person to join eShopWorld as a Business Analyst.

The successful candidate will have a high understanding of Excel and VBA, with a vision to automate and structure large amounts of data through Excel, VBA, RPA or other technologies. The candidate will be responsible for structuring current reporting models to enhance, automate and create inter-relational data structures between tasks and departments. This position requires a close working relationship with key stakeholders to understand their specific data requirements and developing the necessary documentation to support the team across the development and support after implementation.

Key Responsibilities:

Transformation activities:

Ability to analyse and document in relevant detail business processes and user requirements.
Design reporting models and processes in Excel, and define required automations
Structure data flows and inter-relationships between processes and departments
Produce both process and data flow maps as required identifying timings, functional responsibilities etc.
Effectively translate stakeholders' problems or demands into solutions. Map and document the desired outcomes to show the `To be' processes against the processes which can be supported by a technical solution or package
Continually critically analyse development requirements in terms of solution design, dependency, and value / outcome
Effectively engage with stakeholders to ensure clarity of expectation and outcome to reduce iteration cycles or misinterpretation
Define resource allocation and priority of activities in collaboration with stakeholders
Assist stakeholders in reviewing functionality outcomes to ensure in line with original scoping and assisting where outcome is not in line with expectation (successful UAT of data related solutions)
Ensure full alignment between various internal and external teams to confirm and gain agreement to the desired outcomes
Ability to facilitate information gathering sessions to capture key Business Requirements
Ability to self-manage the business analysis activity through to completion

Technology based activities:

Identify best technology to use for each solution implementation
Identify improvements and enhancements by applying different technologies
Define required formulas or VBA solutions to simplify and automate data models
Define implementation process using RPA and/or Alteryx
Lead User Acceptance Testing as part of our go-live preparation
Maintain a high level of knowledge about all products, systems and procedures that relate to each of the implementations
Foster and lead a continuous improvement culture. Identify process improvements and process re-engineering, to help to improve business practices
Participate in architectural process reviews as part of project and strategic initiatives
Data Management Governance
Manage Ad hoc projects and tasks as assigned from time to time
Prioritize, schedule and complete development and testing required for multiple applications with overlapping schedules

 Essential Qualifications & Experience:

Highly analytical with strong problem solving and troubleshooting skills
Minimum of 5 years' business analysis experience across a variety of functions or domains
Proven experience designing and architecting solutions in Excel, VBA, Power Pivot and Access/SQL
Knowledge of RPA (UiPath preferred), Alteryx, automation tools and other automation technologiesBachelor's degree in a Business/Technology/Engineering or related degree
Technical experience; for example with business intelligence platforms database knowledge (i.e.Looker, PowerBI)
Experience working in an Agile environment
Excellent facilitation & critical analysis skills
Strong communication & translation of requirements skills.
Process and Data mapping experience
You should want to work in a fast-paced eCommerce business
Ability to influence and manage multiple stakeholders
Excellent operational organisation skills
High level of initiative and desire to get things done
Willingness to introduce change and challenge existing processes and procedures
eCommerce and or logistics industry experience is highly desirable

What's on offer?

Career growth – tailored learning & development, tuition assistance and professional certification.
Health & Wellbeing – dental & health insurance, reduced corporate gym membership, paid sick leave.
Work Life Balance – 25 days annual leave, flexible working, sports & social club.
Family – paid maternity & paternity leave, life assurance, income disability cover.
Financial – competitive salary, pension, stock option scheme, bike to work, travel TaxSaver, relocation assistance.

About us

Founded in 2010, eShopWorld powers cross-border ecommerce for the world's best-known brands, creating safer, simpler, and faster shopping experiences for consumers all around the globe. ESW's powerful combination of technology and human ingenuity optimizes the entire shopper journey, from site development to demand generation to checkout, through shipping, customer service and returns.

With configurable end-to-end solutions in more than 200 markets worldwide, we fully manage payments, compliance, data security, fraud protection, taxes and tariffs, helping clients enter new markets in as few as 6 weeks, and dramatically improve results in current markets. Bringing together more than 400 experts across multiple disciplines, the ESW team delivers profitable growth for retailers and brands worldwide.",https://ie.indeed.com/viewjob?jk=9e77f88013e54bd8
